institution,credit_code,category,pillar,credit_name,section,field,value,units,value_numeric,value_type
"University of California, Berkeley",PRE-2,PRE,Preface,Points of Distinction,,"A photograph or document associated with the third featured program, initiative, or accomplishment",,,,not_reported
"University of California, Berkeley",PRE-2,PRE,Preface,Points of Distinction,,Notes about the information provided for this credit,"UC Berkeley Facilities Services, Office of Sustainability, Single-Use Plastics Elimination Working Group",,,text
"University of California, Berkeley",PRE-3,PRE,Preface,Institutional Characteristics,,Institution type,Doctoral/Research,,,text
"University of California, Berkeley",PRE-3,PRE,Preface,Institutional Characteristics,,Institutional control,Public,,,text
"University of California, Berkeley",PRE-3,PRE,Preface,Institutional Characteristics,,Narrative outlining the institutional boundary used to complete this report,"The institutional boundary used in this report includes those for operational purposes the campus retains operational control. This includes UC Berkeley's main campus covering 178 acres in the City of Berkeley, the Hill campus east and adjacent to the main campus, the Richmond Field Station and other stations/reserves operated by the campus, and buildings owned by the campus in various locations.",,,text_long
"University of California, Berkeley",PRE-3,PRE,Preface,Institutional Characteristics,,Which of the following features are included within the institutional boundary?,Museum,,,text
"University of California, Berkeley",PRE-3,PRE,Preface,Institutional Characteristics,,Locale,Mid-size city,,,text
"University of California, Berkeley",PRE-3,PRE,Preface,Institutional Characteristics,,Climate zone,3 - Warm,,,text
"University of California, Berkeley",PRE-3,PRE,Preface,Institutional Characteristics,,Gross floor area of building space,"1,503,129.29",Square meters,1503129.29,number
"University of California, Berkeley",PRE-3,PRE,Preface,Institutional Characteristics,,Full-time equivalent student enrollment,"44,578",,44578.0,number
"University of California, Berkeley",PRE-3,PRE,Preface,Institutional Characteristics,,Full-time equivalent of employees,"13,678",,13678.0,number
"University of California, Berkeley",PRE-3,PRE,Preface,Institutional Characteristics,,Percentage of students that live in campus housing,21.90,,21.9,number
"University of California, Berkeley",PRE-3,PRE,Preface,Institutional Characteristics,,Percentage of students enrolled exclusively in distance education,3,,3.0,number
"University of California, Berkeley",PRE-3,PRE,Preface,Institutional Characteristics,,Notes about the information provided for this credit,Office of Sustainabiltiy,,,text
"University of California, Berkeley",PRE-3,PRE,Preface,Institutional Characteristics,,Additional documentation for this credit,,,,not_reported
"University of California, Berkeley",PRE-4,PRE,Preface,Reporting Methodologies,,Narrative outlining the data collection process used in the preparation of this report,"The Office of Sustainability at UC Berkeley led the data collection process for the STARS 3.0 report, utilizing various internal and external tools and platforms to gather and analyze data. This collaborative effort involved multiple campus departments, each providing essential input to ensure comprehensive reporting across all STARS categories. 1. Initial Planning and Stakeholder Engagement. The process began with strategic planning sessions to establish timelines, assign responsibilities, and clarify data requirements. Representatives from departments such as Facilities Services, Residential Life, Procurement, Energy and Utilities, and Academic Affairs joined the data collection team, working closely with the Office of Sustainability to set up a systematic approach for gathering information. 2. Data Collection and Verification. The Office of Sustainability distributed detailed data request templates, and each department identified primary contacts to gather specific data points. Data inputs from various departments were centralized in Shared Good Forms, organized by STARS sections to facilitate easy access and tracking. This centralized platform allowed departments to input data directly, improving efficiency and accuracy in data management. 3. Use of Analytical Tools and Platforms. In addition to the Shared Good Forms, a range of analytical tools and platforms were used to process and validate data. These tools supported efficient data handling, quality checks, and trend analysis, helping to ensure data accuracy before it was compiled into the report. 4. Consolidation, Cross-Referencing, and Supporting Evidence. The Office of Sustainability consolidated the submitted data into a central database, cross-referencing information across departments to ensure consistency. Each response was further supported with documentation, such as policies, procedural documents, and reports, to provide evidence for specific claims and metrics required by STARS. 5. Final Review and Submission. Once data consolidation and verification were complete, the Office of Sustainability conducted a final review with department leads and senior administration. Following this review, the completed report was submitted to AASHE. The final data will inform future improvements and sustainability planning at UC Berkeley.",,,text_long
"University of California, Berkeley",PRE-4,PRE,Preface,Reporting Methodologies,,List of personnel who led the reporting process,"Marina Zdobnova, Sustainability Data and Program Manager, Office of Sustainability Ashley Smiley, Postodoctoral Fellow, Office of Sustainabiltiy",,,text
"University of California, Berkeley",PRE-4,PRE,Preface,Reporting Methodologies,,List of additional personnel who contributed to the reporting process,,,,not_reported
"University of California, Berkeley",PRE-4,PRE,Preface,Reporting Methodologies,,Were students involved in the data collection process?,Yes,,,boolean
"University of California, Berkeley",PRE-4,PRE,Preface,Reporting Methodologies,,Narrative outlining how students were involved in the data collection process,"Several students were actively involved in the data collection process for the STARS 3.0 report. Their contributions included work on multiple sections including Climate Resiliency, Biodiversity studies, Student Engagement, and assisting with data validation.",,,text_long
"University of California, Berkeley",PRE-4,PRE,Preface,Reporting Methodologies,,Description of the internal data quality controls used in the preparation of this report,"The preparation of UC Berkeley’s STARS 3.0 report involved multiple layers of internal data quality control to ensure accuracy and consistency. Key controls included: Departmental Review: Each department reviewed and verified its data submissions before sending them to the Office of Sustainability. This initial review helped to catch discrepancies and ensure data was accurate at the source. Cross-Referencing: The Office of Sustainability cross-checked data across departments for consistency, particularly for complex metrics such as greenhouse gas emissions and energy usage, which may overlap across categories. Documentation Requirements: Departments were asked to provide supporting documentation (e.g., policies, reports, procedural documents) for data points, which allowed for further verification and validation of reported data. Centralized Data Collection Platforms: Data was gathered and managed using centralized platforms like Shared Good Forms, organized by section. This ensured that data entry was consistent and reduced the risk of errors in transferring information. Final Review by Senior Staff: The compiled data underwent a final review by senior staff and administrators in the Office of Sustainability, who conducted a last check for accuracy and completeness before submission.",,,text_long
"University of California, Berkeley",PRE-4,PRE,Preface,Reporting Methodologies,,Were any independent audits or external assurance processes used in the preparation of this report?,No,,,boolean
"University of California, Berkeley",PRE-4,PRE,Preface,Reporting Methodologies,,Narrative outlining the independent audits or external assurance processes used in the preparation of this report,,,,not_reported
"University of California, Berkeley",PRE-4,PRE,Preface,Reporting Methodologies,,Notes about the information provided for this credit,Office of Sustainability,,,text
"University of California, Berkeley",PRE-4,PRE,Preface,Reporting Methodologies,,Additional documentation for this credit,,,,not_reported
"University of California, Berkeley",AC-1,AC,Context,Sustainability Course Offerings,,Total number of academic departments that offer courses that may be taken for credit,129,,129.0,number
"University of California, Berkeley",AC-1,AC,Context,Sustainability Course Offerings,,Number of academic departments with at least one sustainability course offering,113,,113.0,number
"University of California, Berkeley",AC-1,AC,Context,Sustainability Course Offerings,,Annotated list or inventory of the institution’s sustainability course offerings by department,Final_STARS_Course__Department_File_2024.2.10.2024.xlsx,,,text
"University of California, Berkeley",AC-1,AC,Context,Sustainability Course Offerings,,Description of the process used to identify the institution’s sustainability course offerings by department,"Courses were identified as Sustainability Focused or Related based on a review of their title and course description from the UC Berkeley Guide. Using a programmed word search, we first identified any courses that contained at least one sustainability related word from the STARS recommended word list. All courses were then manually reviewed by Berkeley Sustainability Office staff for final categorization. This year's submission maintained the categorization of courses completed for the 2020 submission, based on title and description in the Berkeley guide. Any new courses added since then were reviewed in 2024. An important note on this year's methohdology is that unlike in prior years, no attempt was made to review the ""Special Titles"" and one time course descriptions used for courses with rotating one time topics.",,,text_long
"University of California, Berkeley",AC-1,AC,Context,Sustainability Course Offerings,,Percentage of departments with sustainability course offerings,87.60,,87.6,number
"University of California, Berkeley",AC-1,AC,Context,Sustainability Course Offerings,,Points earned for indicator AC 1.1,7.01,,7.01,number
"University of California, Berkeley",AC-1,AC,Context,Sustainability Course Offerings,,Does the institution maintain a public multidisciplinary listing of its sustainability course offerings as a resource for current and prospective students?,Yes,,,boolean
"University of California, Berkeley",AC-1,AC,Context,Sustainability Course Offerings,,Online location where the institution’s sustainability course listings are maintained,https://sustainability.berkeley.edu/engage/take-classes,,,url
"University of California, Berkeley",AC-1,AC,Context,Sustainability Course Offerings,,Publication where the institution’s sustainability course listings are maintained,2005_Campus_Sustainability_Assessment.pdf,,,text
"University of California, Berkeley",AC-1,AC,Context,Sustainability Course Offerings,,Description of the process used to create and maintain the institution’s sustainability course listings,"https://sustainability.berkeley.edu/engage/take-classes Subject matter experts were consulted to access the database of course offerings at UC Berkeley: Dr. Kira Blaisdell-Sloan and Matthew Betts from the UC Berkeley Office of Planning & Analysis. Their office utilized custom queries that search for AASHE's curated list of sustainability keywords within the course catalog descriptions. Courses are flagged as sustainability-focused and sustainability-inclusive based on the presence or absence of said keywords. The output of the query is then reviewed and validated by four UC Berkeley undergraduate sustainability fellows in order to confirm if the results of the query are accurate. Each year, as courses are discontinued or created, the sustainability course offerings list is updated. Graduate courses are those numbered 200 and above. Some courses were offered in undergraduate and graduate versions. “Focused”: a course that views topics through the lens of sustainability. This does not mean that the word “sustainability” needs to be in the course description, it simply means that the topics of the course almost exclusively pertain to the definition of sustainability from above. “Inclusive”: a course that devotes at least one unit or section to a sustainability topic or has direct applications in sustainability fields.",,,url
"University of California, Berkeley",AC-1,AC,Context,Sustainability Course Offerings,,Points earned for indicator AC 1.2,3,,3.0,number
"University of California, Berkeley",AC-1,AC,Context,Sustainability Course Offerings,,Does the institution provide incentives for individual academic staff working to integrate sustainability into the curriculum to pursue relevant professional development and/or training?,Yes,,,boolean
"University of California, Berkeley",AC-1,AC,Context,Sustainability Course Offerings,,Narrative and/or website URL providing an overview of the incentives provided for individual academic staff to integrate sustainability into the curriculum,"UC Berkeley has entire schools and colleges dedicated to issues related to sustainability, such as the Rausser College of Natural Resources and the College for Environmental Design. Faculty and other instructors are compensated specifically to teach sustainability issues in programs of study dedicated to sustainability. In addition, they are compensated to partner with other schools and colleges to integrate issues of sustainability into general courses and interdisciplinary programs . For example, the College of Computing, Data Science, and Society offers interdisciplinary programs of study for undergraduate data science majors in Environment, Resource Management, and Society as well as Sustainable Development and Engineering . These programs of study are multidisciplinary in nature, where departments such as history or economics run courses to examine sustainability through the lens of their discipline. Additionally, academic staff are recognized for their efforts through sustainability reporting. The Chancellor's Advisory Committe on Sustainability gives awards to UC Berkeley faculty, instructors, staff and students during Earth Month's Annual Sustainabiltiy Summit and the Annual Sustainabiltiy Awards program. Among other categories awardees are those who work on including sustainabiltiy into the graduate and undergraduate curriculum, including DeCal Sustainability Courses. https://sustainability.berkeley.edu/news/uc-berkeley-celebrated-2024-cacs-sustainability-awardees ]",,,text_long
"University of California, Berkeley",AC-1,AC,Context,Sustainability Course Offerings,,"Does the institution host an ongoing multidisciplinary community of practice, sustainability across the curriculum training program, or equivalent support program for academic staff who are working to integrate sustainability into the curriculum?",Yes,,,boolean
"University of California, Berkeley",AC-1,AC,Context,Sustainability Course Offerings,,"Narrative and/or website URL providing an overview the institution’s sustainability-focused community of practice, sustainability across the curriculum training program, or equivalent support program","The Office of Sustainability, in partnership with faculty from across campus disciplines, offers annual workshops to support and incentivize other faculty to integrate the sustainability concepts into courses. Sustainabiltiy Training and Workshops: https://sustainability.berkeley.edu/office-sustainability/os-projects See an example of a workshop flyer: https://drive.google.com/file/d/17pjzglcV-QWCOhRH8AjWwh8l8bStvOcp/view The workshops focus on incentivizing and supporting other teachers to integrate the concept of sustainability into their courses, with the goal of improving student literacy in sustainability and climate change solutions. Over 50 instructors have participated so far from a range of disciplines including non-traditional sustainability fields. The broad campus impact is apparent, results from just one workshop included 11 courses transformed with sustainability concepts, with a combined student impact of nearly 1,000 students! Academic staff are incentivized to integrate the concept of sustainability into their courses. • Brainstorm ideas for including sustainability principles in curricula across campus – from art history to literature to gender studies to environmental science • Expand the range and definitions of sustainability beyond traditional disciplines • Leave with creative, concrete ways to help your students explore important sustainability concepts A toolkit of resources is provided to participants, and the organizing group offers follow-up and check-in's to support collaborative thinking for developing sustainability courses. The workshop is offered free of charge. The participating staff is recognized via sustainability reporting.",,,text_long
"University of California, Berkeley",AC-1,AC,Context,Sustainability Course Offerings,,Points earned for indicator AC 1.3,3,,3.0,number
"University of California, Berkeley",AC-1,AC,Context,Sustainability Course Offerings,,Notes about the information provided for this credit,"The information for sustainability course offerings was collected via a UC Berkeley course inventory from 2021-2024 filtering for items that qualified as sustainability-focused or sustainability-related courses. UC Berkeley Office of Sustainability undergraduate fellows classified the courses as sustainability-related or -focused based on the descriptions provided in the STARS technical manual. All courses that were either -focused or -related were counted as a sustainability offering. The resulting courses were then analyzed by the school's Office of Planning and Analysis to calculate the percentage of total departments that had at least one sustainability course offering. The Office of Planning and Analysis (OPA) is UC Berkeley's central institutional research unit. The OPA supports data-informed decision making to help UC Berkeley better fulfill its goals of access and excellence through teaching, research, and public service.",,,text_long
"University of California, Berkeley",AC-1,AC,Context,Sustainability Course Offerings,,Additional documentation for this credit,,,,not_reported
"University of California, Berkeley",AC-2,AC,Context,Undergraduate Programs,,Has the institution established institutional learning outcomes for its undergraduate students?,Yes,,,boolean
"University of California, Berkeley",AC-2,AC,Context,Undergraduate Programs,,Online resource detailing the institutional learning outcomes for undergraduate students,https://guide.berkeley.edu/undergraduate/education/#earningyourdegreetext,,,url
"University of California, Berkeley",AC-2,AC,Context,Undergraduate Programs,,Publication detailing the institutional learning outcomes for undergraduate students,UCB_Sustainability_Learning_Outcomes_AY_2020-21_to_2022-23_YDcnrUK_Updated.xlsx,,,text
"University of California, Berkeley",AC-2,AC,Context,Undergraduate Programs,,Are one or more of the institutional learning outcomes for undergraduate students sustainability-focused?,No,,,boolean
"University of California, Berkeley",AC-2,AC,Context,Undergraduate Programs,,Text of each institutional learning outcome for undergraduate students that qualifies as sustainability-focused,,,,not_reported
"University of California, Berkeley",AC-2,AC,Context,Undergraduate Programs,,Are one or more of the institutional learning outcomes for undergraduate students sustainability-supportive?,Yes,,,boolean
"University of California, Berkeley",AC-2,AC,Context,Undergraduate Programs,,Text of each institutional learning outcome for undergraduate students that qualifies as sustainability-supportive,"The American Cultures requirement is a Berkeley campus requirement, one that all undergraduate students at Berkeley need to pass in order to graduate. The requirement was instituted in 1991 to introduce students to the diverse cultures of the United States through a comparative framework. Courses are offered in more than fifty departments in many different disciplines at both the lower and upper division level. The American Cultures requirement and courses constitute a new approach that responds directly to the problem encountered in numerous disciplines of how better to present the diversity of American experience to the diversity of American students whom we now educate. Faculty members from many departments teach American cultures courses, but all courses have a common framework. The courses focus on themes or issues in United States history, society, or culture; address theoretical or analytical issues relevant to understanding race, culture, and ethnicity in American society; take substantial account of groups drawn from at least three of the following: African Americans, Indigenous peoples of the United States, Asian Americans, Chicano/Latino Americans, and European Americans; and are integrative and comparative in that students study each group in the larger context of American society, history, or culture. These courses focus upon how the diversity of America's constituent cultural traditions have shaped and continue to shape American identity and experience. This is not an ethnic studies requirement, nor a Third World cultures requirement, nor an adjusted Western civilization requirement, nor a course on racism. The American Cultures requirement meets the STARS definition of sustainability-supportive in the following ways: - Students will be able to demonstrate an understanding of the nature of systems. - Students will have an understanding of their social responsibility as future professionals and citizens. - Students will be able to accommodate individual differences in their decisions and actions and be able to negotiate across these differences. - Students will be able to analyze power, structures of inequality, and social systems that govern individual and communal life. - Students will be able to recognize the global implications of their actions. https://guide.berkeley.edu/undergraduate/colleges-schools/chemistry/american-cultures-requirement/",,,text_long
"University of California, Berkeley",AC-2,AC,Context,Undergraduate Programs,,Points earned for indicator AC 2.1,2,,2.0,number
"University of California, Berkeley",AC-2,AC,Context,Undergraduate Programs,,"Does the institution offer at least one sustainability-focused degree, certificate, or major for undergraduate students?",Yes,,,boolean
"University of California, Berkeley",AC-2,AC,Context,Undergraduate Programs,,"List and description of the institution’s sustainability-focused degrees, certificates, and majors for undergraduate students","Undergraduate List: 2nd tab titled, ""sustainability-focused degrees"" https://docs.google.com/spreadsheets/d/1ZRhOloPuCnpx1k71X_1dpKIKQUE9h0P5/edit?gid=2121161994#gid=2121161994",,,text
"University of California, Berkeley",AC-2,AC,Context,Undergraduate Programs,,Does the institution offer at least one sustainability-focused concentration or minor for undergraduate students?,Yes,,,boolean
"University of California, Berkeley",AC-2,AC,Context,Undergraduate Programs,,List and description of the institution’s sustainability-focused concentrations and minors for undergraduate students,"Undergraduate List: 3rd tab titled, ""sustainability-focused minors"" https://docs.google.com/spreadsheets/d/1ZRhOloPuCnpx1k71X_1dpKIKQUE9h0P5/edit?gid=2121161994#gid=2121161994",,,text
"University of California, Berkeley",AC-2,AC,Context,Undergraduate Programs,,Does the institution offer at least one undergraduate qualification focused on a subject other than sustainability that has a sustainability-focused learning requirement?,Yes,,,boolean
"University of California, Berkeley",AC-2,AC,Context,Undergraduate Programs,,List and description of the institution’s undergraduate qualifications focused on subjects other than sustainability that have sustainability-focused learning requirements,"Undergraduate List: 4th tab titled, ""one sustainability-focused course learning requirement"" https://docs.google.com/spreadsheets/d/1ZRhOloPuCnpx1k71X_1dpKIKQUE9h0P5/edit?gid=2121161994#gid=2121161994",,,text
"University of California, Berkeley",AC-2,AC,Context,Undergraduate Programs,,Points earned for indicator AC 2.2,4,,4.0,number
"University of California, Berkeley",AC-2,AC,Context,Undergraduate Programs,,Performance year for undergraduate qualifications,2023,,2023.0,year
"University of California, Berkeley",AC-2,AC,Context,Undergraduate Programs,,Total number of undergraduate qualifications awarded,"26,330",,26330.0,number
"University of California, Berkeley",AC-2,AC,Context,Undergraduate Programs,,Number of undergraduate qualifications awarded that are sustainability-focused,"15,885",,15885.0,number
"University of California, Berkeley",AC-2,AC,Context,Undergraduate Programs,,Number of undergraduate qualifications awarded that are focused on subjects other than sustainability but have sustainability-focused learning requirements,0,,0.0,number
"University of California, Berkeley",AC-2,AC,Context,Undergraduate Programs,,Total number of undergraduate qualifications awarded that have sustainability-focused learning requirements,"15,885",,15885.0,number
