credit_code,category,question,answer
EN-5,EN,Overall Rating,Gold
EN-5,EN,Overall Score,83.35
EN-5,EN,Submission Date,"Dec. 2, 2024"
EN-6,EN,Overall Rating,Gold
EN-6,EN,Overall Score,83.35
EN-6,EN,Submission Date,"Dec. 2, 2024"
EN-7,EN,Overall Rating,Gold
EN-7,EN,Overall Score,83.35
EN-7,EN,Submission Date,"Dec. 2, 2024"
EN-8,EN,Overall Rating,Gold
EN-8,EN,Overall Score,83.35
EN-8,EN,Submission Date,"Dec. 2, 2024"
EN-9,EN,Overall Rating,Gold
EN-9,EN,Overall Score,83.35
EN-9,EN,Submission Date,"Dec. 2, 2024"
OP-1,OP,Overall Rating,Gold
OP-1,OP,Overall Score,83.35
OP-1,OP,Submission Date,"Dec. 2, 2024"
OP-2,OP,Overall Rating,Gold
OP-2,OP,Overall Score,83.35
OP-2,OP,Submission Date,"Dec. 2, 2024"
OP-3,OP,Overall Rating,Gold
OP-3,OP,Overall Score,83.35
OP-3,OP,Submission Date,"Dec. 2, 2024"
OP-4,OP,Overall Rating,Gold
OP-4,OP,Overall Score,83.35
OP-4,OP,Submission Date,"Dec. 2, 2024"
OP-5,OP,Overall Rating,Gold
OP-5,OP,Overall Score,83.35
OP-5,OP,Submission Date,"Dec. 2, 2024"
OP-6,OP,Overall Rating,Gold
OP-6,OP,Overall Score,83.35
OP-6,OP,Submission Date,"Dec. 2, 2024"
OP-7,OP,Overall Rating,Gold
OP-7,OP,Overall Score,83.35
OP-7,OP,Submission Date,"Dec. 2, 2024"
OP-8,OP,Overall Rating,Gold
OP-8,OP,Overall Score,83.35
OP-8,OP,Submission Date,"Dec. 2, 2024"
OP-9,OP,Overall Rating,Gold
OP-9,OP,Overall Score,83.35
OP-9,OP,Submission Date,"Dec. 2, 2024"
OP-10,OP,Overall Rating,Gold
OP-10,OP,Overall Score,83.35
OP-10,OP,Submission Date,"Dec. 2, 2024"
OP-11,OP,Overall Rating,Gold
OP-11,OP,Overall Score,83.35
OP-11,OP,Submission Date,"Dec. 2, 2024"
OP-12,OP,Overall Rating,Gold
OP-12,OP,Overall Score,83.35
OP-12,OP,Submission Date,"Dec. 2, 2024"
OP-13,OP,Overall Rating,Gold
OP-13,OP,Overall Score,83.35
OP-13,OP,Submission Date,"Dec. 2, 2024"
OP-14,OP,Overall Rating,Gold
OP-14,OP,Overall Score,83.35
OP-14,OP,Submission Date,"Dec. 2, 2024"
OP-15,OP,Overall Rating,Gold
OP-15,OP,Overall Score,83.35
OP-15,OP,Submission Date,"Dec. 2, 2024"
PA-1,PA,Overall Rating,Gold
PA-1,PA,Overall Score,83.35
PA-1,PA,Submission Date,"Dec. 2, 2024"
PA-2,PA,Overall Rating,Gold
PA-2,PA,Overall Score,83.35
PA-2,PA,Submission Date,"Dec. 2, 2024"
PA-3,PA,Overall Rating,Gold
PA-3,PA,Overall Score,83.35
PA-3,PA,Submission Date,"Dec. 2, 2024"
PA-4,PA,Overall Rating,Gold
PA-4,PA,Overall Score,83.35
PA-4,PA,Submission Date,"Dec. 2, 2024"
PA-5,PA,Overall Rating,Gold
PA-5,PA,Overall Score,83.35
PA-5,PA,Submission Date,"Dec. 2, 2024"
PA-6,PA,Overall Rating,Gold
PA-6,PA,Overall Score,83.35
PA-6,PA,Submission Date,"Dec. 2, 2024"
PA-7,PA,Overall Rating,Gold
PA-7,PA,Overall Score,83.35
PA-7,PA,Submission Date,"Dec. 2, 2024"
PA-8,PA,Overall Rating,Gold
PA-8,PA,Overall Score,83.35
PA-8,PA,Submission Date,"Dec. 2, 2024"
PA-9,PA,Overall Rating,Gold
PA-9,PA,Overall Score,83.35
PA-9,PA,Submission Date,"Dec. 2, 2024"
PA-10,PA,Overall Rating,Gold
PA-10,PA,Overall Score,83.35
PA-10,PA,Submission Date,"Dec. 2, 2024"
PA-11,PA,Overall Rating,Gold
PA-11,PA,Overall Score,83.35
PA-11,PA,Submission Date,"Dec. 2, 2024"
PA-12,PA,Overall Rating,Gold
PA-12,PA,Overall Score,83.35
PA-12,PA,Submission Date,"Dec. 2, 2024"
PA-13,PA,Overall Rating,Gold
PA-13,PA,Overall Score,83.35
PA-13,PA,Submission Date,"Dec. 2, 2024"
IL-1,IL,Overall Rating,Gold
IL-1,IL,Overall Score,83.35
IL-1,IL,Submission Date,"Dec. 2, 2024"
IL-2,IL,Overall Rating,Gold
IL-2,IL,Overall Score,83.35
IL-2,IL,Submission Date,"Dec. 2, 2024"
IL-3,IL,Overall Rating,Gold
IL-3,IL,Overall Score,83.35
IL-3,IL,Submission Date,"Dec. 2, 2024"
IL-4,IL,Overall Rating,Gold
IL-4,IL,Overall Score,83.35
IL-4,IL,Submission Date,"Dec. 2, 2024"
IL-5,IL,Overall Rating,Gold
IL-5,IL,Overall Score,83.35
IL-5,IL,Submission Date,"Dec. 2, 2024"
IL-6,IL,Overall Rating,Gold
IL-6,IL,Overall Score,83.35
IL-6,IL,Submission Date,"Dec. 2, 2024"
IL-7,IL,Overall Rating,Gold
IL-7,IL,Overall Score,83.35
IL-7,IL,Submission Date,"Dec. 2, 2024"
IL-8,IL,Overall Rating,Gold
IL-8,IL,Overall Score,83.35
IL-8,IL,Submission Date,"Dec. 2, 2024"
IL-9,IL,Overall Rating,Gold
IL-9,IL,Overall Score,83.35
IL-9,IL,Submission Date,"Dec. 2, 2024"
IL-10,IL,Overall Rating,Gold
IL-10,IL,Overall Score,83.35
IL-10,IL,Submission Date,"Dec. 2, 2024"
IL-11,IL,Overall Rating,Gold
IL-11,IL,Overall Score,83.35
IL-11,IL,Submission Date,"Dec. 2, 2024"
IL-12,IL,Overall Rating,Gold
IL-12,IL,Overall Score,83.35
IL-12,IL,Submission Date,"Dec. 2, 2024"
IL-13,IL,Overall Rating,Gold
IL-13,IL,Overall Score,83.35
IL-13,IL,Submission Date,"Dec. 2, 2024"
IL-14,IL,Overall Rating,Gold
IL-14,IL,Overall Score,83.35
IL-14,IL,Submission Date,"Dec. 2, 2024"
IL-15,IL,Overall Rating,Gold
IL-15,IL,Overall Score,83.35
IL-15,IL,Submission Date,"Dec. 2, 2024"
IL-16,IL,Overall Rating,Gold
IL-16,IL,Overall Score,83.35
IL-16,IL,Submission Date,"Dec. 2, 2024"
IL-17,IL,Overall Rating,Gold
IL-17,IL,Overall Score,83.35
IL-17,IL,Submission Date,"Dec. 2, 2024"
IL-18,IL,Overall Rating,Gold
IL-18,IL,Overall Score,83.35
IL-18,IL,Submission Date,"Dec. 2, 2024"
IL-19,IL,Overall Rating,Gold
IL-19,IL,Overall Score,83.35
IL-19,IL,Submission Date,"Dec. 2, 2024"
IL-20,IL,Overall Rating,Gold
IL-20,IL,Overall Score,83.35
IL-20,IL,Submission Date,"Dec. 2, 2024"
IL-21,IL,Overall Rating,Gold
IL-21,IL,Overall Score,83.35
IL-21,IL,Submission Date,"Dec. 2, 2024"
IL-22,IL,Overall Rating,Gold
IL-22,IL,Overall Score,83.35
IL-22,IL,Submission Date,"Dec. 2, 2024"
IL-23,IL,Overall Rating,Gold
IL-23,IL,Overall Score,83.35
IL-23,IL,Submission Date,"Dec. 2, 2024"
IL-24,IL,Overall Rating,Gold
IL-24,IL,Overall Score,83.35
IL-24,IL,Submission Date,"Dec. 2, 2024"
IL-25,IL,Overall Rating,Gold
IL-25,IL,Overall Score,83.35
IL-25,IL,Submission Date,"Dec. 2, 2024"
IL-26,IL,Overall Rating,Gold
IL-26,IL,Overall Score,83.35
IL-26,IL,Submission Date,"Dec. 2, 2024"
IL-27,IL,Overall Rating,Gold
IL-27,IL,Overall Score,83.35
IL-27,IL,Submission Date,"Dec. 2, 2024"
IL-28,IL,Overall Rating,Gold
IL-28,IL,Overall Score,83.35
IL-28,IL,Submission Date,"Dec. 2, 2024"
IL-29,IL,Overall Rating,Gold
IL-29,IL,Overall Score,83.35
IL-29,IL,Submission Date,"Dec. 2, 2024"
IL-30,IL,Overall Rating,Gold
IL-30,IL,Overall Score,83.35
IL-30,IL,Submission Date,"Dec. 2, 2024"
IL-31,IL,Overall Rating,Gold
IL-31,IL,Overall Score,83.35
IL-31,IL,Submission Date,"Dec. 2, 2024"
IL-32,IL,Overall Rating,Gold
IL-32,IL,Overall Score,83.35
IL-32,IL,Submission Date,"Dec. 2, 2024"
IL-33,IL,Overall Rating,Gold
IL-33,IL,Overall Score,83.35
IL-33,IL,Submission Date,"Dec. 2, 2024"
IL-34,IL,Overall Rating,Gold
IL-34,IL,Overall Score,83.35
IL-34,IL,Submission Date,"Dec. 2, 2024"
IL-35,IL,Overall Rating,Gold
IL-35,IL,Overall Score,83.35
IL-35,IL,Submission Date,"Dec. 2, 2024"
IL-36,IL,Overall Rating,Gold
IL-36,IL,Overall Score,83.35
IL-36,IL,Submission Date,"Dec. 2, 2024"
IL-37,IL,Overall Rating,Gold
IL-37,IL,Overall Score,83.35
IL-37,IL,Submission Date,"Dec. 2, 2024"
IL-38,IL,Overall Rating,Gold
IL-38,IL,Overall Score,83.35
IL-38,IL,Submission Date,"Dec. 2, 2024"
IL-39,IL,Overall Rating,Gold
IL-39,IL,Overall Score,83.35
IL-39,IL,Submission Date,"Dec. 2, 2024"
IL-40,IL,Overall Rating,Gold
IL-40,IL,Overall Score,83.35
IL-40,IL,Submission Date,"Dec. 2, 2024"
IL-41,IL,Overall Rating,Gold
IL-41,IL,Overall Score,83.35
IL-41,IL,Submission Date,"Dec. 2, 2024"
IL-42,IL,Overall Rating,Gold
IL-42,IL,Overall Score,83.35
IL-42,IL,Submission Date,"Dec. 2, 2024"
IL-43,IL,Overall Rating,Gold
IL-43,IL,Overall Score,83.35
IL-43,IL,Submission Date,"Dec. 2, 2024"
IL-44,IL,Overall Rating,Gold
IL-44,IL,Overall Score,83.35
IL-44,IL,Submission Date,"Dec. 2, 2024"
IL-45,IL,Overall Rating,Gold
IL-45,IL,Overall Score,83.35
IL-45,IL,Submission Date,"Dec. 2, 2024"
IL-46,IL,Overall Rating,Gold
IL-46,IL,Overall Score,83.35
IL-46,IL,Submission Date,"Dec. 2, 2024"
IL-47,IL,Overall Rating,Gold
IL-47,IL,Overall Score,83.35
IL-47,IL,Submission Date,"Dec. 2, 2024"
IL-48,IL,Overall Rating,Gold
IL-48,IL,Overall Score,83.35
IL-48,IL,Submission Date,"Dec. 2, 2024"
IL-49,IL,Overall Rating,Gold
IL-49,IL,Overall Score,83.35
IL-49,IL,Submission Date,"Dec. 2, 2024"
IL-50,IL,Overall Rating,Gold
IL-50,IL,Overall Score,83.35
IL-50,IL,Submission Date,"Dec. 2, 2024"
IL-51,IL,Overall Rating,Gold
IL-51,IL,Overall Score,83.35
IL-51,IL,Submission Date,"Dec. 2, 2024"
IL-52,IL,Overall Rating,Gold
IL-52,IL,Overall Score,83.35
IL-52,IL,Submission Date,"Dec. 2, 2024"
IL-53,IL,Overall Rating,Gold
IL-53,IL,Overall Score,83.35
IL-53,IL,Submission Date,"Dec. 2, 2024"
IL-54,IL,Overall Rating,Gold
IL-54,IL,Overall Score,83.35
IL-54,IL,Submission Date,"Dec. 2, 2024"
IL-55,IL,Overall Rating,Gold
IL-55,IL,Overall Score,83.35
IL-55,IL,Submission Date,"Dec. 2, 2024"
IL-56,IL,Overall Rating,Gold
IL-56,IL,Overall Score,83.35
IL-56,IL,Submission Date,"Dec. 2, 2024"
IL-57,IL,Overall Rating,Gold
IL-57,IL,Overall Score,83.35
IL-57,IL,Submission Date,"Dec. 2, 2024"
IL-58,IL,Overall Rating,Gold
IL-58,IL,Overall Score,83.35
IL-58,IL,Submission Date,"Dec. 2, 2024"
IL-59,IL,Overall Rating,Gold
IL-59,IL,Overall Score,83.35
IL-59,IL,Submission Date,"Dec. 2, 2024"
IL-60,IL,Overall Rating,Gold
IL-60,IL,Overall Score,83.35
IL-60,IL,Submission Date,"Dec. 2, 2024"
IL-61,IL,Overall Rating,Gold
IL-61,IL,Overall Score,83.35
IL-61,IL,Submission Date,"Dec. 2, 2024"
IL-62,IL,Overall Rating,Gold
IL-62,IL,Overall Score,83.35
IL-62,IL,Submission Date,"Dec. 2, 2024"
IL-63,IL,Overall Rating,Gold
IL-63,IL,Overall Score,83.35
IL-63,IL,Submission Date,"Dec. 2, 2024"
IL-64,IL,Overall Rating,Gold
IL-64,IL,Overall Score,83.35
IL-64,IL,Submission Date,"Dec. 2, 2024"
IL-65,IL,Overall Rating,Gold
IL-65,IL,Overall Score,83.35
IL-65,IL,Submission Date,"Dec. 2, 2024"
IL-66,IL,Overall Rating,Gold
IL-66,IL,Overall Score,83.35
IL-66,IL,Submission Date,"Dec. 2, 2024"
IL-67,IL,Overall Rating,Gold
IL-67,IL,Overall Score,83.35
IL-67,IL,Submission Date,"Dec. 2, 2024"
IL-68,IL,Overall Rating,Gold
IL-68,IL,Overall Score,83.35
IL-68,IL,Submission Date,"Dec. 2, 2024"
IL-69,IL,Overall Rating,Gold
IL-69,IL,Overall Score,83.35
IL-69,IL,Submission Date,"Dec. 2, 2024"
